id_map;start;target;path_cost;bench_time;run_time;expanded;generated;heapops
London_0_512;(381, 237);(196, 363);289.2376987385528;120067;120067.5;78;96;173
London_0_512;(317, 95);(81, 462);615.5661485462489;733959;733959.6;453;508;946
London_0_512;(218, 490);(53, 288);261.6938161751725;100078;100078.9;43;54;96
London_0_512;(358, 347);(323, 166);184.64671703062297;132950;132950.6;30;49;78
London_0_512;(277, 324);(149, 253);164.02966266345186;47712;47712.6;23;34;56
London_0_512;(40, 464);(271, 254);330.5491691859271;104813;104813.8;57;72;128
London_0_512;(146, 327);(447, 304);325.69240754517824;105806;105806.9;69;88;156
London_0_512;(177, 344);(380, 0);443.38321464135134;591355;591355.1;498;583;1060
London_0_512;(370, 344);(283, 197);170.8156901458411;66422;66422.5;23;37;59
London_0_512;(303, 366);(196, 337);110.86027241532469;18060;18060.9;3;7;9
London_0_512;(154, 12);(471, 376);490.05163562624216;212292;212292.9;335;363;697
London_0_512;(276, 125);(210, 425);347.67992394973686;91463;91463.8;74;86;159
London_0_512;(470, 314);(180, 41);398.9891943779969;120993;120993.5;195;242;433
London_0_512;(290, 122);(371, 228);133.98259869713434;48712;48712.0;54;65;118
London_0_512;(308, 271);(92, 333);225.02429087330344;101280;101280.2;41;49;89
London_0_512;(27, 183);(251, 94);337.1036259202845;266536;266536.6;291;322;611
London_0_512;(303, 35);(228, 250);425.89386746680356;424761;424761.3;547;585;1121
London_0_512;(446, 96);(172, 98);329.0240305207939;633312;633312.3;535;586;1112
London_0_512;(442, 105);(80, 432);509.6289324178541;614808;614808.5;319;391;691
London_0_512;(444, 340);(225, 452);282.0956690582903;125648;125648.6;29;41;69
London_0_512;(130, 416);(169, 485);79.25906888173743;43286;43286.7;20;25;44
London_0_512;(374, 377);(215, 366);159.38004893963358;18517;18517.5;3;7;9
London_0_512;(103, 351);(439, 284);358.6324029126454;118998;118998.5;67;83;149
London_0_512;(2, 92);(223, 456);442.8020523977277;283262;283262.8;107;124;230
London_0_512;(216, 353);(470, 347);263.10671504226406;167260;167260.5;24;40;63
London_0_512;(350, 62);(34, 269);477.0951995461505;280248;280248.6;167;183;349
London_0_512;(379, 209);(252, 309);193.49862690734082;101563;101563.0;66;85;150
London_0_512;(275, 306);(347, 356);87.65842800324451;16933;16933.1;6;13;18
London_0_512;(3, 295);(222, 97);300.21015345497517;153968;153968.7;88;118;205
London_0_512;(4, 71);(60, 476);410.80748720828433;330372;330372.4;92;106;197
London_0_512;(271, 268);(406, 456);231.4497785697796;60445;60445.7;28;38;65
London_0_512;(35, 462);(36, 252);235.5425484366341;57907;57907.2;21;27;47
London_0_512;(317, 410);(284, 188);224.43930137121706;61714;61714.3;25;39;63
