exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
573;True;AnyaSearch;377271;377271.6;854;1288;1846;(453,428);(337,282);231.53910522;206.94651598392824;8room_004.map
574;True;AnyaSearch;415297;415297.2;993;1519;2188;(229,194);(374,92);231.50966797;204.2583125275076;8room_004.map
575;True;AnyaSearch;416687;416687.9;998;1526;2181;(159,169);(293,45);231.82337646;203.56660449192793;8room_004.map
576;True;AnyaSearch;256596;256596.9;533;830;1228;(389,478);(291,315);230.78174591;205.12701570000294;8room_004.map
577;True;AnyaSearch;361614;361614.3;842;1359;1909;(125,259);(20,108);230.75230865;207.36479268837888;8room_004.map
578;True;AnyaSearch;408801;408801.8;920;1454;2056;(285,193);(414,58);230.85281372;204.02418614737908;8room_004.map
579;True;AnyaSearch;426666;426666.0;923;1425;1993;(149,176);(333,194);228.75230865;206.69271988247837;8room_004.map
580;True;AnyaSearch;411945;411945.7;872;1422;1999;(397,117);(379,311);230.95331879;209.49340056298635;8room_004.map
581;True;AnyaSearch;312985;312985.8;702;1053;1559;(431,447);(300,313);233.61017303;206.9582704846752;8room_004.map
582;True;AnyaSearch;440149;440149.7;1063;1683;2304;(308,329);(126,266);233.12489166;210.6115954375077;8room_004.map
583;True;AnyaSearch;379322;379322.4;812;1295;1847;(169,19);(176,220);235.19595947;213.84888243578746;8room_004.map
584;True;AnyaSearch;465866;465866.7;1022;1575;2270;(332,477);(324,294);235.12489166;208.58594613678673;8room_004.map
585;True;AnyaSearch;510019;510019.8;1145;1871;2554;(254,334);(153,498);233.50966797;209.1265044919729;8room_004.map
586;True;AnyaSearch;446925;446925.2;989;1527;2187;(132,469);(35,311);233.61017303;207.5190423198218;8room_004.map
587;True;AnyaSearch;228268;228268.7;477;757;1117;(366,44);(283,229);235.33809509;211.69203859815892;8room_004.map
588;True;AnyaSearch;429420;429420.7;990;1520;2172;(163,49);(315,161);235.23759003;207.15806932624415;8room_004.map
589;True;AnyaSearch;236947;236947.3;559;827;1241;(457,442);(265,435);234.78174591;214.89136542060353;8room_004.map
590;True;AnyaSearch;273505;273505.2;690;1095;1564;(62,467);(247,405);232.92388153;209.21815811158925;8room_004.map
591;True;AnyaSearch;454736;454736.6;995;1586;2239;(199,309);(236,114);238.16652222;214.7462923083319;8room_004.map
592;True;AnyaSearch;383861;383861.2;855;1339;1910;(202,234);(121,59);236.85281372;213.14748967904006;8room_004.map
593;True;AnyaSearch;355818;355818.3;788;1247;1764;(17,55);(165,173);237.33809509;210.09366722175474;8room_004.map
594;True;AnyaSearch;634729;634729.5;1489;2277;3172;(307,195);(118,190);238.4091629;214.21229832265882;8room_004.map
595;True;AnyaSearch;641265;641265.9;1442;2278;3126;(455,197);(385,379);239.78174591;216.2696635814892;8room_004.map
596;True;AnyaSearch;563006;563006.6;1174;1788;2535;(283,358);(428,476);236.68124084;210.10189194383375;8room_004.map
597;True;AnyaSearch;651920;651920.8;1543;2358;3286;(129,50);(300,137);239.92388153;213.29952760176306;8room_004.map
598;True;AnyaSearch;463205;463205.8;978;1493;2076;(499,330);(494,149);236.85281372;215.35870590437102;8room_004.map
599;True;AnyaSearch;384306;384306.8;890;1366;1951;(372,459);(191,376);238.61017303;216.08235193989168;8room_004.map
600;True;AnyaSearch;876068;876068.8;2071;3172;4341;(283,124);(433,55);239.50966797;212.37124830248183;8room_004.map
601;True;AnyaSearch;378183;378183.3;897;1310;1912;(190,505);(375,463);241.50966797;217.54084928060539;8room_004.map
602;True;AnyaSearch;344778;344778.8;753;1251;1745;(307,421);(196,252);243.23759003;215.53357206778244;8room_004.map
603;True;AnyaSearch;354639;354639.2;765;1225;1741;(245,481);(278,294);240.81118317;214.50678316211946;8room_004.map
604;True;AnyaSearch;351637;351637.6;845;1311;1884;(269,51);(469,73);242.26702728;221.8042397454563;8room_004.map
605;True;AnyaSearch;359350;359350.7;836;1350;1870;(201,402);(51,274);242.16652222;213.69562653151706;8room_004.map
606;True;AnyaSearch;486532;486532.4;981;1622;2252;(259,401);(287,197);241.33809509;220.5692548409789;8room_004.map
607;True;AnyaSearch;383794;383794.6;851;1285;1867;(353,420);(501,293);240.68124084;212.9844620715878;8room_004.map
608;True;AnyaSearch;470363;470363.9;1088;1713;2439;(242,275);(244,86);242.82337646;215.61231741119013;8room_004.map
609;True;AnyaSearch;375479;375479.3;888;1353;1934;(350,153);(151,115);243.61017303;220.82425137772165;8room_004.map
610;True;AnyaSearch;486256;486256.0;1136;1763;2483;(247,263);(444,260);240.75230865;218.90681038342998;8room_004.map
611;True;AnyaSearch;409537;409537.8;918;1413;2070;(358,284);(277,460);247.99494934;222.30422364508445;8room_004.map
612;True;AnyaSearch;1183909;1183909.2;2721;4205;5634;(83,230);(250,166);245.85281372;220.73322886692557;8room_004.map
613;True;AnyaSearch;353108;353108.7;824;1265;1836;(285,329);(487,277);246.95331879;225.4185674519926;8room_004.map
614;True;AnyaSearch;673005;673005.6;1456;2299;3156;(285,30);(259,228);246.85281372;224.61825002990045;8room_004.map
615;True;AnyaSearch;610851;610851.6;1334;2145;2973;(486,274);(412,84);247.09545441;223.11172285940805;8room_004.map
616;True;AnyaSearch;471347;471347.9;1057;1711;2367;(127,266);(13,101);247.75230865;221.59595143317668;8room_004.map
617;True;AnyaSearch;493202;493202.1;1038;1671;2348;(123,493);(137,285);244.99494934;223.6430695661974;8room_004.map
618;True;AnyaSearch;424549;424549.1;978;1481;2172;(359,297);(193,198);244.68124084;217.0693515741448;8room_004.map
619;True;AnyaSearch;496731;496731.8;1047;1652;2351;(74,159);(70,365);246.85281372;227.3027017968269;8room_004.map
620;True;AnyaSearch;422417;422417.5;968;1519;2134;(187,329);(46,471);247.4091629;217.30968570910076;8room_004.map
621;True;AnyaSearch;374612;374612.8;780;1284;1792;(41,76);(52,283);248.12489166;227.35970721125128;8room_004.map
622;True;AnyaSearch;329074;329074.9;744;1187;1663;(450,69);(285,181);248.92388153;219.49975046791687;8room_004.map
623;True;AnyaSearch;354204;354204.8;879;1296;1935;(345,81);(137,86);251.36753235;229.86560289079878;8room_004.map
624;True;AnyaSearch;467226;467226.3;1058;1674;2338;(356,349);(183,454);248.85281372;221.55744689297882;8room_004.map
625;True;AnyaSearch;673980;673980.6;1540;2355;3311;(335,189);(138,155);249.85281372;225.42746804449956;8room_004.map
626;True;AnyaSearch;357482;357482.3;764;1205;1732;(286,109);(379,279);249.89444427;220.96718724908047;8room_004.map
627;True;AnyaSearch;328376;328376.2;747;1229;1729;(403,235);(329,35);249.19595947;225.27562897521844;8room_004.map
628;True;AnyaSearch;346902;346902.0;734;1135;1648;(395,451);(368,241);250.53910522;228.75341148143215;8room_004.map
629;True;AnyaSearch;1037589;1037589.5;2375;3663;4991;(122,182);(33,339);251.23759003;223.7726515914733;8room_004.map
630;True;AnyaSearch;485862;485862.3;1178;1833;2534;(148,153);(355,180);248.85281372;227.79069659549765;8room_004.map
631;True;AnyaSearch;167322;167322.0;364;561;848;(324,418);(106,461);255.85281372;235.04736471667462;8room_004.map
632;True;AnyaSearch;375088;375088.2;818;1273;1847;(84,431);(118,217);253.92388153;231.92050566551293;8room_004.map
633;True;AnyaSearch;730070;730070.5;1630;2540;3510;(211,85);(223,293);254.85281372;232.82522419709673;8room_004.map
634;True;AnyaSearch;524432;524432.6;1097;1670;2350;(511,149);(483,355);253.58073578;230.61379734795966;8room_004.map
635;True;AnyaSearch;853775;853775.8;1865;2938;4097;(295,42);(314,237);255.78174591;229.54660132939145;8room_004.map
636;True;AnyaSearch;306199;306199.8;698;1050;1504;(13,412);(46,210);252.58073578;230.50981726774225;8room_004.map
637;True;AnyaSearch;564576;564576.6;1195;1915;2671;(343,217);(269,414);253.85281372;227.58189139529452;8room_004.map
638;True;AnyaSearch;705718;705718.1;1611;2537;3458;(230,20);(59,133);253.09545441;227.36829749108017;8room_004.map
639;True;AnyaSearch;471044;471044.6;1022;1539;2238;(311,342);(505,268);253.09545441;227.28124695798343;8room_004.map
640;True;AnyaSearch;555601;555601.5;1266;1966;2791;(281,367);(434,505);253.75230865;227.27309485559377;8room_004.map
641;True;AnyaSearch;541087;541087.2;1189;1833;2650;(351,275);(333,479);258.85281372;231.95228444350096;8room_004.map
642;True;AnyaSearch;763263;763263.8;1662;2647;3661;(433,197);(367,6);259.06601715;229.86669000521445;8room_004.map
643;True;AnyaSearch;523826;523826.7;1130;1828;2530;(285,423);(313,203);257.43860016;235.54956434335995;8room_004.map
644;True;AnyaSearch;658244;658244.9;1483;2333;3257;(242,225);(178,42);257.50966797;232.8285625144222;8room_004.map
645;True;AnyaSearch;790634;790634.1;1795;2788;3821;(179,274);(390,300);258.68124084;234.5310230119286;8room_004.map
646;True;AnyaSearch;676048;676048.9;1505;2340;3297;(327,275);(247,86);256.09545441;230.3678218260771;8room_004.map
647;True;AnyaSearch;618747;618747.7;1387;2219;3062;(89,113);(147,319);257.53910522;232.66427235666424;8room_004.map
648;True;AnyaSearch;377207;377207.6;830;1380;1937;(428,269);(428,46);257.22539673;235.8492959794439;8room_004.map
649;True;AnyaSearch;519808;519808.9;1245;1889;2741;(38,101);(246,145);259.68124084;237.78146655160873;8room_004.map
650;True;AnyaSearch;448998;448998.2;1032;1584;2274;(316,228);(122,313);257.36753235;231.7024500269786;8room_004.map
651;True;AnyaSearch;700458;700458.1;1570;2450;3353;(143,315);(356,283);261.26702728;236.5983962577158;8room_004.map
652;True;AnyaSearch;485972;485972.6;1159;1768;2529;(275,162);(63,143);260.43860016;238.3795756654991;8room_004.map
653;True;AnyaSearch;682149;682149.7;1571;2469;3391;(509,239);(321,140);262.68124084;235.96613856151544;8room_004.map
654;True;AnyaSearch;446942;446942.3;1092;1729;2429;(189,46);(9,130);261.23759003;231.37763357715085;8room_004.map
655;True;AnyaSearch;563560;563560.0;1270;1962;2738;(330,223);(212,51);263.33809509;233.59715179693902;8room_004.map
656;True;AnyaSearch;862311;862311.0;2057;3210;4411;(163,338);(367,316);262.0243866;239.10828512471645;8room_004.map
657;True;AnyaSearch;473755;473755.1;992;1579;2275;(474,174);(486,399);263.22539673;241.90733895972315;8room_004.map
