exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
Experiment #2761;False;AnyaSearch;20529.9;20529.9;3;3;5;(57,704);(761,46);1109.61;-1;AcrosstheCape.map
Experiment #2762;False;AnyaSearch;108580.0;108580.0;2;2;3;(767,103);(59,756);1108.61;-1;AcrosstheCape.map
Experiment #2763;False;AnyaSearch;19643.3;19643.3;3;3;5;(32,740);(734,72);1111.75;-1;AcrosstheCape.map
Experiment #2764;False;AnyaSearch;18270.0;18270.0;7;7;13;(696,333);(151,124);1110.71;-1;AcrosstheCape.map
Experiment #2765;False;AnyaSearch;20614.3;20614.3;9;9;17;(10,44);(700,80);1109.57;-1;AcrosstheCape.map
Experiment #2766;False;AnyaSearch;16828.4;16828.4;2;2;3;(702,755);(10,108);1108.18;-1;AcrosstheCape.map
Experiment #2767;False;AnyaSearch;20558.5;20558.5;8;8;15;(737,79);(68,53);1108.1;-1;AcrosstheCape.map
Experiment #2768;False;AnyaSearch;18600.8;18600.8;3;3;5;(743,745);(104,80);1111.5;-1;AcrosstheCape.map
Experiment #2769;False;AnyaSearch;20740.3;20740.3;14;14;27;(17,16);(760,212);1108.84;-1;AcrosstheCape.map
Experiment #2770;False;AnyaSearch;27877.5;27877.5;24;24;47;(630,272);(27,67);1109.69;-1;AcrosstheCape.map
Experiment #2771;False;AnyaSearch;27995.3;27995.3;31;31;61;(30,71);(671,739);1112.84;-1;AcrosstheCape.map
Experiment #2772;False;AnyaSearch;31998.2;31998.2;3;3;5;(717,752);(49,102);1113.06;-1;AcrosstheCape.map
Experiment #2773;False;AnyaSearch;56945.5;56945.5;4;4;7;(7,195);(717,295);1114.03;-1;AcrosstheCape.map
Experiment #2774;False;AnyaSearch;70159.7;70159.7;41;41;81;(28,714);(735,56);1112.61;-1;AcrosstheCape.map
Experiment #2775;False;AnyaSearch;53235.0;53235.0;42;42;83;(634,314);(32,106);1112.21;-1;AcrosstheCape.map
Experiment #2776;False;AnyaSearch;11991.0;11991.0;2;2;3;(678,317);(84,711);1115.43;-1;AcrosstheCape.map
Experiment #2777;False;AnyaSearch;100516.8;100516.8;35;35;69;(105,71);(647,308);1113.87;-1;AcrosstheCape.map
Experiment #2778;False;AnyaSearch;43120.4;43120.4;20;20;39;(89,52);(717,733);1114.02;-1;AcrosstheCape.map
Experiment #2779;False;AnyaSearch;16560.9;16560.9;22;22;43;(69,365);(618,260);1112.71;-1;AcrosstheCape.map
Experiment #2780;False;AnyaSearch;7820.0;7820.0;2;2;3;(102,349);(633,302);1115.99;-1;AcrosstheCape.map
Experiment #2781;False;AnyaSearch;19444.6;19444.6;11;11;21;(4,713);(676,45);1119.83;-1;AcrosstheCape.map
Experiment #2782;False;AnyaSearch;20600.0;20600.0;19;20;37;(705,634);(93,5);1119.51;-1;AcrosstheCape.map
Experiment #2783;False;AnyaSearch;31470.5;31470.5;15;15;29;(692,7);(117,732);1119.14;-1;AcrosstheCape.map
Experiment #2784;False;AnyaSearch;31461.7;31461.7;3;3;5;(713,748);(147,356);1117.26;-1;AcrosstheCape.map
Experiment #2785;False;AnyaSearch;54297.9;54297.9;46;46;91;(36,10);(704,116);1116.03;-1;AcrosstheCape.map
