exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1513;True;AnyaSearch;2349672;2349672.8;2520;3698;5369;(425,104);(39,364);604.17366485;558.1961100178494;16room_004.map
1514;True;AnyaSearch;2394321;2394321.6;2569;3759;5444;(407,105);(56,388);604.94321747;556.6920329820776;16room_004.map
1515;True;AnyaSearch;1273568;1273568.3;1292;1917;2838;(411,19);(191,491);605.68838348;556.8974133727979;16room_004.map
1516;True;AnyaSearch;2029090;2029090.9;2109;3157;4515;(204,497);(349,8);607.88939361;556.0137019941063;16room_004.map
1517;True;AnyaSearch;1515536;1515536.9;1609;2391;3501;(463,374);(53,61);606.12698364;552.3314698391245;16room_004.map
1518;True;AnyaSearch;2574951;2574951.9;2735;3970;5737;(430,72);(67,399);604.45793609;558.420502636702;16room_004.map
1519;True;AnyaSearch;3105606;3105606.4;3221;4637;6651;(488,418);(202,34);604.8427124;552.5760802436149;16room_004.map
1520;True;AnyaSearch;3167483;3167483.9;3465;4985;7156;(478,239);(42,435);607.5290039;556.3475941471414;16room_004.map
1521;True;AnyaSearch;2162517;2162517.9;2269;3285;4811;(494,506);(123,180);609.70057678;559.0294817501698;16room_004.map
1522;True;AnyaSearch;2959326;2959326.1;3099;4619;6537;(102,40);(279,509);608.80108185;563.0526008614331;16room_004.map
1523;True;AnyaSearch;1802941;1802941.8;1934;2883;4131;(273,34);(54,481);610.11479034;562.785634140754;16room_004.map
1524;True;AnyaSearch;1373164;1373164.9;1435;2119;3118;(353,415);(19,21);611.67113952;562.2259445295966;16room_004.map
1525;True;AnyaSearch;2469122;2469122.1;2697;3965;5645;(417,33);(26,323);609.25692596;558.4511717269263;16room_004.map
1526;True;AnyaSearch;2194683;2194683.3;2283;3368;4821;(328,24);(51,441);608.45793609;562.1693338948097;16room_004.map
1527;True;AnyaSearch;864708;864708.7;903;1359;2027;(405,398);(36,24);608.26911926;554.948415050976;16room_004.map
1528;True;AnyaSearch;1711674;1711674.1;1828;2661;3919;(19,413);(426,150);610.35743103;562.9090529576733;16room_004.map
1529;True;AnyaSearch;1941061;1941061.5;2146;3132;4559;(2,334);(414,26);610.39906158;563.1606522563152;16room_004.map
1530;True;AnyaSearch;1617044;1617044.8;1687;2518;3687;(159,467);(397,6);608.87214966;558.3228205889368;16room_004.map
1531;True;AnyaSearch;2876134;2876134.3;3138;4617;6559;(40,98);(372,454);612.55844116;561.4287497622703;16room_004.map
1532;True;AnyaSearch;2099686;2099686.6;2255;3332;4801;(9,106);(338,483);613.67113952;563.2652321392566;16room_004.map
1533;True;AnyaSearch;1703398;1703398.5;1803;2643;3883;(420,4);(110,417);613.74220733;561.8983458910052;16room_004.map
1534;True;AnyaSearch;1699016;1699016.3;1804;2642;3901;(367,484);(33,90);614.25692596;565.1081216505851;16room_004.map
1535;True;AnyaSearch;2589730;2589730.0;2600;3811;5521;(395,494);(243,12);613.26911926;567.0863206287461;16room_004.map
1536;True;AnyaSearch;1410956;1410956.8;1439;2120;3153;(491,442);(85,114);612.29855652;561.1609282402287;16room_004.map
1537;True;AnyaSearch;1481866;1481866.8;1554;2300;3402;(424,98);(130,486);615.04372253;562.5889872455798;16room_004.map
1538;True;AnyaSearch;3090443;3090443.0;3308;4791;6819;(77,7);(467,280);614.42849884;565.6178783262098;16room_004.map
1539;True;AnyaSearch;2156038;2156038.3;2302;3325;4894;(457,28);(151,410);614.88434295;563.8250329432141;16room_004.map
1540;True;AnyaSearch;2142511;2142511.5;2303;3377;4917;(484,381);(26,135);612.60007171;565.2957035739144;16room_004.map
1541;True;AnyaSearch;1765945;1765945.6;1862;2719;4032;(408,461);(57,85);616.02647857;564.8340221141252;16room_004.map
1542;True;AnyaSearch;1247695;1247695.8;1324;1942;2880;(40,497);(419,159);619.49956665;563.440663391747;16room_004.map
1543;True;AnyaSearch;1819274;1819274.8;1817;2660;3894;(509,488);(280,12);618.18585815;571.6623081813589;16room_004.map
1544;True;AnyaSearch;1700827;1700827.3;1813;2627;3899;(363,110);(28,500);617.88434295;563.6412865981664;16room_004.map
1545;True;AnyaSearch;1423957;1423957.2;1487;2143;3185;(494,436);(28,194);618.51681061;569.7418074832254;16room_004.map
1546;True;AnyaSearch;2369659;2369659.3;2568;3747;5409;(482,51);(14,251);618.70057678;571.7587700629059;16room_004.map
1547;True;AnyaSearch;1741020;1741020.9;1882;2777;4023;(417,90);(4,356);619.70057678;566.4130582765054;16room_004.map
1548;True;AnyaSearch;3130984;3130984.8;3324;4811;6909;(371,59);(43,420);616.28636322;565.6511747841682;16room_004.map
1549;True;AnyaSearch;2155107;2155107.9;2340;3318;4937;(20,461);(482,263);618.45793609;567.3607399567393;16room_004.map
1550;True;AnyaSearch;2001665;2001665.3;2219;3143;4612;(498,468);(13,407);616.37467499;570.6003963952498;16room_004.map
1551;True;AnyaSearch;1904319;1904319.1;2023;2970;4289;(78,372);(447,42);623.01428528;571.8758346023943;16room_004.map
1552;True;AnyaSearch;1400742;1400742.7;1529;2260;3293;(41,77);(459,364);622.95541076;567.9173241725487;16room_004.map
1553;True;AnyaSearch;1640352;1640352.7;1748;2538;3708;(9,30);(438,325);622.09754638;567.0441400063079;16room_004.map
1554;True;AnyaSearch;2069729;2069729.5;2206;3262;4686;(43,399);(407,46);621.94321747;570.0838314753038;16room_004.map
1555;True;AnyaSearch;2303443;2303443.2;2407;3603;5157;(175,3);(231,508);621.85995636;575.202091689;16room_004.map
1556;True;AnyaSearch;1577182;1577182.6;1659;2367;3565;(504,57);(99,377);623.64170227;571.6366285303905;16room_004.map
1557;True;AnyaSearch;2105037;2105037.7;2301;3383;4904;(47,165);(461,476);620.5290039;570.1402300314874;16room_004.map
1558;True;AnyaSearch;3393698;3393698.0;3651;5308;7568;(383,52);(29,395);622.12698364;570.2979864709689;16room_004.map
1559;True;AnyaSearch;2157981;2157981.1;2285;3342;4886;(129,493);(473,107);620.35743103;566.1327066775558;16room_004.map
1560;True;AnyaSearch;2388756;2388756.9;2493;3602;5290;(28,499);(281,59);623.35743103;574.1093619620165;16room_004.map
1561;True;AnyaSearch;2218326;2218326.7;2357;3420;4989;(23,461);(344,74);626.70057678;575.7034557055422;16room_004.map
1562;True;AnyaSearch;1859069;1859069.3;2041;2991;4350;(508,248);(8,76);627.62950897;579.3754854367759;16room_004.map
