exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1281;True;AnyaSearch;12357486;12357486.0;19063;44180;44326;(96,351);(475,96);512.74220733;462.29493676824876;random512-20-8.map
1282;True;AnyaSearch;6929541;6929541.1;11410;26970;26215;(46,400);(498,274);515.119841;473.246970368047;random512-20-8.map
1283;True;AnyaSearch;12798199;12798199.7;20262;47129;46847;(447,44);(54,275);513.28636322;462.8054094425804;random512-20-8.map
1284;True;AnyaSearch;15681876;15681876.0;23945;55325;57327;(381,45);(172,452);514.07315979;464.2307006132269;random512-20-8.map
1285;True;AnyaSearch;13271550;13271550.3;20472;46945;49373;(13,484);(223,76);513.97265472;464.3717361729353;random512-20-8.map
1286;True;AnyaSearch;17659282;17659282.8;27065;63331;64917;(413,483);(311,27);512.24978332;472.7112754974119;random512-20-8.map
1287;True;AnyaSearch;10037019;10037019.4;15307;35980;37156;(324,383);(1,70);514.05591583;458.9629437057662;random512-20-8.map
1288;True;AnyaSearch;14029112;14029112.2;20047;46245;47118;(461,92);(120,396);514.95541076;463.4282443264731;random512-20-8.map
1289;True;AnyaSearch;17929377;17929377.6;25942;60632;62362;(129,68);(333,476);512.07315979;462.86836609088346;random512-20-8.map
1290;True;AnyaSearch;16324820;16324820.9;23927;56951;57726;(58,117);(329,481);513.98484802;460.44052689485943;random512-20-8.map
1291;True;AnyaSearch;13346231;13346231.9;19761;45388;47059;(493,430);(192,89);518.39906158;461.1513071341041;random512-20-8.map
1292;True;AnyaSearch;21549081;21549081.3;31677;73714;74005;(305,29);(38,398);516.74220733;462.64036138177795;random512-20-8.map
1293;True;AnyaSearch;21817006;21817006.4;29757;70165;70775;(28,41);(289,421);519.98484802;467.5747055765276;random512-20-8.map
1294;True;AnyaSearch;13132108;13132108.6;20388;47345;48534;(370,124);(96,491);518.57063446;463.828472604459;random512-20-8.map
1295;True;AnyaSearch;16086907;16086907.1;23967;55529;58111;(368,474);(275,7);517.4213562;482.4617191323077;random512-20-8.map
1296;True;AnyaSearch;10682406;10682406.6;16714;38908;38229;(478,100);(67,316);518.04372253;470.2351024851837;random512-20-8.map
1297;True;AnyaSearch;14237911;14237911.1;21241;50099;52512;(196,38);(307,497);516.7350647;477.48255340767685;random512-20-8.map
1298;True;AnyaSearch;14267780;14267780.4;21546;49983;50922;(81,504);(415,190);517.95541076;464.8499187255192;random512-20-8.map
1299;True;AnyaSearch;5998467;5998467.9;10150;23412;22993;(13,387);(496,394);516.16652222;486.53633263928384;random512-20-8.map
1300;True;AnyaSearch;9489153;9489153.2;15093;34494;36578;(139,56);(447,394);517.71277008;462.0304898186111;random512-20-8.map
1301;True;AnyaSearch;14836830;14836830.7;24466;55912;52853;(484,52);(10,0);520.69343414;482.52973342987366;random512-20-8.map
1302;True;AnyaSearch;14945947;14945947.9;23114;54969;55777;(335,466);(80,82);521.25692596;467.4984756183601;random512-20-8.map
1303;True;AnyaSearch;7971827;7971827.2;12424;28904;28926;(40,389);(477,212);522.27416992;476.81373569435067;random512-20-8.map
1304;True;AnyaSearch;15425256;15425256.9;25745;61301;57868;(38,210);(457,414);520.48737335;472.6312035172365;random512-20-8.map
1305;True;AnyaSearch;12754466;12754466.3;19578;45959;48231;(238,456);(3,58);522.18585815;467.3467431991525;random512-20-8.map
1306;True;AnyaSearch;19809790;19809790.5;32224;73553;70418;(75,118);(498,308);521.75945129;471.95922261997896;random512-20-8.map
1307;True;AnyaSearch;10318570;10318570.7;17588;40252;38980;(484,27);(0,27);522.06601715;488.5971330575842;random512-20-8.map
1308;True;AnyaSearch;16390483;16390483.8;26684;61901;61584;(22,31);(358,340);523.64170227;465.51103972454064;random512-20-8.map
1309;True;AnyaSearch;26252056;26252056.5;39798;93744;87776;(85,200);(476,445);521.08535309;469.92056684825576;random512-20-8.map
1310;True;AnyaSearch;10179260;10179260.2;15684;36716;36097;(67,263);(507,92);522.20310211;477.1205580483098;random512-20-8.map
1311;True;AnyaSearch;13871392;13871392.9;22225;51691;51820;(44,141);(409,427);525.64170227;470.04855098600495;random512-20-8.map
1312;True;AnyaSearch;12595285;12595285.9;19606;45409;47270;(103,510);(369,129);525.1564209;470.1894948759487;random512-20-8.map
1313;True;AnyaSearch;15326327;15326327.9;24621;56857;53888;(8,232);(471,104);527.53405456;486.45758339984775;random512-20-8.map
1314;True;AnyaSearch;11496783;11496783.7;17450;40236;42587;(372,89);(137,491);524.77164459;472.5473312642637;random512-20-8.map
